"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Friday",1753.27487811909
"2","member","Friday",767.73617455468
"3","casual","Monday",1859.73176562086
"4","member","Monday",761.32236626546
"5","casual","Saturday",2000.90899161282
"6","member","Saturday",873.690453499357
"7","casual","Sunday",2071.56230798052
"8","member","Sunday",867.417836349792
"9","casual","Thursday",1631.31246135488
"10","member","Thursday",763.948016983748
"11","casual","Tuesday",1645.51356323154
"12","member","Tuesday",749.971807179922
"13","casual","Wednesday",1570.28378680391
"14","member","Wednesday",743.601748412792
